Number of employees,Is your employer a tech company?,Does your medical coverage include treatment of mental health?,Do you currently have a mental health disorder?,Do you know the options for mental health care available under your employer-provided health coverage?,Have you ever been diagnosed with a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,What is your age?,What is your gender?,What country do you work in?,What is your race?,Is your primary role within your company related to tech/IT?,Do you believe your productivity is ever affected by a mental health issue?,How well do you think the tech industry supports employees with mental health issues?,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)","Psychotic Disorder (Schizophrenia, Schizoaffective, etc)","Eating Disorder (Anorexia, Bulimia, etc)",Attention Deficit Hyperactivity Disorder,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Obsessive-Compulsive Disorder,Post traumatic Stress Disorder,Stress Response Syndromes,Dissociative Disorder,Substance Use Disorder,Addictive Disorder,Other
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,37.0,Male,United States of America,White,Yes,No,4.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
500-1000,Yes,No,Yes,Yes,Yes,Yes,Yes,35.0,Female,United States of America,No Answer,Yes,No,3.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
6-25,Yes,No,No,No,No,No,No,31.0,Male,United States of America,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Don't Know,No,No,Don't Know,I don't know,24.0,Male,United States of America,No Answer,No,Unsure,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
500-1000,Yes,No,No,No,No,No,No,27.0,Female,United States of America,Asian,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,No,No,No,Possibly,Yes,36.0,Male,United States of America,White,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,No,No,No,Yes,No,33.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,No,Yes,No,Yes,Yes,Yes,26.0,Male,United States of America,More than one of the above,No,Yes,2.0,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
More than 1000,No,No,No,Yes,No,No,No,26.0,Male,United States of America,White,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,No,Yes,Yes,No,24.0,Male,United States of America,Asian,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,Yes,34.0,Male,United States of America,White,Yes,No,4.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
26-100,Yes,No,Possibly,Yes,No,Possibly,I don't know,25.0,Male,United States of America,No Answer,Yes,No,3.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,Yes,19.0,Female,United States of America,Asian,Yes,No,4.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,No,No,No,No,No,28.0,Male,United States of America,Asian,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Possibly,Yes,26.0,Male,United States of America,White,Yes,No,4.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
1-5,Yes,No,Yes,No,Yes,No,Yes,32.0,Male,South Africa,No Answer,Yes,No,2.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
500-1000,No,No,Yes,No,Yes,Yes,I don't know,23.0,Male,United States of America,White,Yes,No,1.0,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
More than 1000,No,No,No,Yes,No,No,Yes,46.0,Male,United States of America,White,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Possibly,No,No,No,No,28.0,Male,United States of America,White,Yes,No,2.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,Yes,Yes,38.0,Male,Norway,No Answer,No,Yes,2.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,I don't know,30.0,Female,United States of America,White,Yes,No,1.0,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
6-25,Yes,No,No,No,No,No,No,26.0,Male,Brazil,No Answer,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,No,Yes,No,No,No,37.0,Female,Mauritius,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,I don't know,35.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
100-500,No,No,Yes,Yes,Yes,Yes,Yes,26.0,Female,United States of America,More than one of the above,Yes,No,2.0,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
26-100,Yes,No,No,Yes,No,No,No,29.0,Female,United Kingdom,No Answer,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,Yes,57.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,No,Yes,No,No,No,38.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,No,Yes,Yes,No,20.0,Female,United Kingdom,No Answer,Yes,No,3.0,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
6-25,Yes,No,Don't Know,No,No,Don't Know,Yes,41.0,Male,United States of America,White,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,No,No,Possibly,No,No,Possibly,Yes,43.0,Male,United States of America,White,Yes,No,1.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,I don't know,35.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
6-25,Yes,No,Possibly,No,No,Yes,Yes,40.0,Female,United States of America,White,Yes,No,3.0,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
26-100,No,No,Don't Know,No,No,Possibly,No,28.0,Male,Brazil,No Answer,No,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,42.0,Male,United States of America,White,Yes,No,4.0,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No
More than 1000,No,No,No,No,No,No,No,39.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,28.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
6-25,Yes,No,No,No,No,No,No,22.0,Male,India,No Answer,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,Yes,No,No,Yes,29.0,Female,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,No,No,45.0,Male,United States of America,White,No,Yes,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,No,No,No,No,Yes,27.0,Female,Saudi Arabia,No Answer,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,No,No,No,No,No,Possibly,No,32.0,Female,Germany,No Answer,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
500-1000,No,No,Yes,Yes,Yes,Yes,I don't know,28.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,No,Yes,Yes,Yes,31.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No
No Answer,No,No,Yes,No,Yes,Possibly,No,28.0,Male,United States of America,No Answer,No,Yes,2.0,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No
More than 1000,No,No,No,No,No,No,No,24.0,Female,Nigeria,No Answer,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Don't Know,Yes,No,Don't Know,Yes,27.0,Female,United States of America,Black or African American,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,No,Yes,No,No,No,36.0,Female,Ireland,No Answer,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,Yes,37.0,Male,United States of America,White,Yes,No,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,No,No,No,No,No,No,27.0,Female,Kenya,No Answer,No,Yes,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,Yes,No,Possibly,Yes,53.0,Female,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,No,No,No,No,32.0,Male,France,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
