Number of employees,Is your employer a tech company?,Does your medical coverage include treatment of mental health?,Do you currently have a mental health disorder?,Do you know the options for mental health care available under your employer-provided health coverage?,Have you ever been diagnosed with a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,What is your age?,What is your gender?,What country do you work in?,What is your race?,Is your primary role within your company related to tech/IT?,Do you believe your productivity is ever affected by a mental health issue?,How well do you think the tech industry supports employees with mental health issues?,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)","Psychotic Disorder (Schizophrenia, Schizoaffective, etc)","Eating Disorder (Anorexia, Bulimia, etc)",Attention Deficit Hyperactivity Disorder,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Obsessive-Compulsive Disorder,Post traumatic Stress Disorder,Stress Response Syndromes,Dissociative Disorder,Substance Use Disorder,Addictive Disorder,Other
More than 1000,No,No,Possibly,Yes,No,Possibly,I don't know,26.0,Male,United States of America,White,Yes,No,2.0,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No
100-500,Yes,No,Possibly,No,No,Possibly,No,37.0,Male,United States of America,White,Yes,No,2.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,36.0,Female,United States of America,White,Yes,No,2.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
26-100,Yes,No,No,No,No,No,No,35.0,Male,Ethiopia,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,No,No,No,No,No,45.0,Male,United Kingdom,No Answer,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Don't Know,No,No,No,No,23.0,Male,India,No Answer,Yes,No,5.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,No,No,No,No,No,26.0,Male,United States of America,White,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,No,Yes,No,Yes,Yes,No,23.0,Male,Canada,No Answer,No,Yes,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,No,No,No,No,No,No,I don't know,26.0,Male,Mexico,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Possibly,No,No,Possibly,Yes,34.0,Male,United States of America,White,Yes,No,2.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,No,No,No,No,No,22.0,Male,Macedonia,No Answer,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,No,No,Possibly,No,No,Don't Know,I don't know,42.0,Female,United States of America,White,Yes,No,4.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
500-1000,Yes,No,Possibly,No,No,Yes,I don't know,40.0,Male,Mexico,No Answer,Yes,No,1.0,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
500-1000,No,No,Possibly,No,No,Don't Know,Yes,42.0,Male,United States of America,No Answer,Yes,No,1.0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No
26-100,Yes,No,Possibly,Yes,No,Yes,Yes,35.0,Male,United States of America,White,Yes,No,2.0,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,Yes,36.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,No,Yes,No,Possibly,No,37.0,Male,United States of America,I prefer not to answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Yes,Yes,Yes,Possibly,Yes,31.0,Female,United States of America,White,Yes,No,4.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
500-1000,Yes,No,Possibly,Yes,No,Yes,Yes,27.0,Male,United States of America,White,Yes,No,3.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,No,No,No,No,No,No,No,38.0,Male,United Kingdom,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,Yes,32.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,Yes,23.0,Other,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,No,Yes,Yes,Yes,51.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,No,Yes,Yes,I don't know,26.0,Female,Iceland,No Answer,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
500-1000,Yes,No,Possibly,No,No,No,I don't know,19.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,I don't know,44.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
500-1000,Yes,No,Yes,Yes,Yes,Yes,I don't know,42.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,Yes,Yes,Yes,I don't know,26.0,Male,United States of America,White,Yes,No,4.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
500-1000,No,No,Yes,Yes,Yes,Don't Know,I don't know,38.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
26-100,Yes,No,Yes,Yes,Yes,Yes,Yes,26.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
No Answer,No,No,Yes,No,Yes,Yes,Yes,40.0,Male,Greece,No Answer,No,Yes,1.0,No,No,No,No,No,No,No,No,No,No,No,No,Yes
100-500,Yes,No,Possibly,Yes,No,Possibly,I don't know,32.0,Male,United States of America,White,Yes,No,2.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,39.0,Male,United States of America,White,Yes,No,4.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,Yes,Yes,Yes,Yes,44.0,Female,United States of America,White,Yes,No,4.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,Yes,33.0,Female,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,No,Yes,No,I don't know,38.0,Male,Hong Kong,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Possibly,I don't know,42.0,Male,Australia,No Answer,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,Yes,I don't know,57.0,Male,United States of America,White,No,Yes,3.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
100-500,No,No,Possibly,No,No,Yes,Yes,28.0,Male,Germany,No Answer,Yes,No,2.0,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
26-100,Yes,No,Yes,No,Yes,Possibly,No,31.0,Male,France,No Answer,Yes,No,2.0,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No
No Answer,No,No,No,No,No,No,No,34.0,Male,United States of America,White,No,Not applicable to me,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,No,No,No,No,No,35.0,Male,France,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,No,No,No,No,30.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,Yes,Yes,Yes,No,30.0,Male,United States of America,White,Yes,No,4.0,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No
No Answer,No,yes,Yes,No,Yes,Yes,Yes,35.0,Male,United States of America,No Answer,No,Yes,2.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
26-100,Yes,No,No,No,No,No,Yes,40.0,Other,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,No,No,No,No,No,No,No,39.0,Male,United States of America,White,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,No,No,No,No,Yes,24.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Possibly,Yes,No,Yes,I don't know,42.0,Male,United States of America,I prefer not to answer,Yes,No,3.0,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No
26-100,Yes,No,Possibly,No,No,Don't Know,Yes,35.0,Male,United States of America,White,Yes,No,2.0,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,I don't know,34.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,No,Yes,Possibly,Yes,33.0,Female,United States of America,White,Yes,No,1.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
26-100,Yes,No,No,Yes,No,Possibly,No,37.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Yes,Yes,Yes,Yes,Yes,36.0,Male,United States of America,White,Yes,No,4.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,No,No,Possibly,No,No,Yes,I don't know,47.0,Female,United States of America,White,Yes,No,2.0,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
26-100,Yes,No,No,No,No,No,No,42.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,Yes,29.0,Other,United States of America,More than one of the above,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,No,Don't Know,No,No,No,No,38.0,Female,Georgia,No Answer,No,Not applicable to me,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,No,No,No,No,I don't know,30.0,Male,Turkey,No Answer,No,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,Yes,Yes,30.0,Other,United States of America,White,No,Yes,2.0,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No
6-25,Yes,No,Possibly,No,No,Possibly,Yes,36.0,Male,Poland,No Answer,Yes,No,2.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,Yes,Yes,Yes,I don't know,24.0,Female,United States of America,White,No,No,4.0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
More than 1000,No,No,Possibly,Yes,No,Possibly,Yes,41.0,Male,United States of America,White,Yes,No,3.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Possibly,Yes,48.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,31.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Possibly,Yes,No,Yes,Yes,65.0,Male,Canada,No Answer,Yes,No,3.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Possibly,No,No,Possibly,I don't know,34.0,Female,United States of America,White,Yes,No,2.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,No,No,No,I don't know,55.0,Female,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,Yes,Yes,33.0,Female,United States of America,White,No,Yes,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,No,Yes,Yes,No,41.0,Female,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,No,Yes,Yes,I don't know,24.0,Female,United States of America,White,Yes,No,3.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
100-500,No,No,Possibly,No,No,No,Yes,27.0,Female,United States of America,White,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Don't Know,Yes,No,No,No,30.0,Male,Canada,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,37.0,Male,United States of America,White,Yes,No,4.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,No,61.0,Male,United States of America,White,Yes,No,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Don't Know,No,No,No,Yes,45.0,Male,Netherlands,No Answer,No,Yes,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,No,Yes,Yes,Yes,29.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,41.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,No,No,No,Possibly,No,39.0,Male,Spain,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
500-1000,No,No,Yes,No,Yes,Yes,Yes,30.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,No,No,No,No,Yes,46.0,Male,Italy,No Answer,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Don't Know,No,No,No,Yes,42.0,Male,Spain,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,Yes,29.0,Female,United States of America,No Answer,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Yes,Yes,34.0,Female,Australia,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,No,Yes,No,Yes,Yes,I don't know,52.0,Male,Mexico,White,No,Yes,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Possibly,Yes,No,Possibly,I don't know,36.0,Male,United States of America,White,Yes,No,3.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,No,No,No,No,No,34.0,Male,United Kingdom,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,No,No,No,No,I don't know,50.0,Male,Austria,No Answer,No,Not applicable to me,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,Yes,Yes,51.0,Male,United States of America,White,No,Yes,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Possibly,Yes,No,Yes,No,35.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,34.0,Male,United States of America,White,Yes,No,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,Yes,Yes,Yes,Yes,24.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
26-100,Yes,No,No,Yes,No,No,No,37.0,Male,United States of America,White,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,No,No,Yes,No,Yes,Yes,Yes,24.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
1-5,Yes,No,Possibly,No,No,Yes,I don't know,46.0,Male,United States of America,White,No,No,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Possibly,No,No,Possibly,I don't know,31.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
No Answer,No,No,Yes,No,Yes,Yes,I don't know,35.0,Male,United States of America,Asian,No,Yes,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,Yes,No,No,Yes,40.0,Male,United States of America,White,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,I don't know,28.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
6-25,Yes,No,No,No,No,Possibly,Yes,28.0,Male,United States of America,More than one of the above,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Yes,Yes,Yes,Yes,Yes,39.0,Male,Finland,No Answer,Yes,No,3.0,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
100-500,No,No,Yes,Yes,Yes,Possibly,I don't know,31.0,Male,United States of America,No Answer,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Possibly,Yes,No,Possibly,I don't know,27.0,Male,United States of America,White,Yes,No,2.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
More than 1000,No,No,Yes,Yes,Yes,Yes,I don't know,35.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
100-500,Yes,No,Possibly,Yes,No,Possibly,No,27.0,Female,United Kingdom,No Answer,Yes,No,1.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Possibly,Yes,No,Possibly,No,31.0,Male,United Kingdom,No Answer,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,Yes,36.0,Male,United States of America,White,Yes,No,1.0,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
More than 1000,Yes,No,Yes,Yes,Yes,No,I don't know,22.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
No Answer,No,No,No,No,No,Yes,Yes,52.0,Female,United States of America,More than one of the above,No,Yes,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,No,No,No,No,Yes,30.0,Male,United States of America,White,No,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Yes,Yes,Yes,No,Yes,36.0,Female,United States of America,Asian,Yes,No,2.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
26-100,Yes,No,No,No,No,No,Yes,38.0,Female,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Don't Know,No,No,No,I don't know,35.0,Male,Switzerland,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Possibly,No,No,No,No,36.0,Male,India,No Answer,No,Unsure,3.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
100-500,No,No,Yes,Yes,Yes,Possibly,Yes,40.0,Male,United States of America,White,Yes,No,1.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,No,Yes,Yes,Yes,35.0,Male,United States of America,White,Yes,No,1.0,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No
More than 1000,Yes,No,No,No,No,No,No,23.0,Male,Russia,No Answer,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,No,No,No,I don't know,22.0,Female,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,No,Yes,Yes,Yes,34.0,Female,United States of America,Black or African American,No,No,3.0,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
100-500,No,No,Yes,No,Yes,No,No,28.0,Male,United States of America,White,Yes,No,4.0,No,No,No,No,Yes,No,No,No,No,No,No,No,No
26-100,No,No,Possibly,No,No,No,No,38.0,Male,Bangladesh,No Answer,Yes,No,5.0,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No
No Answer,No,yes,No,No,No,No,No,53.0,Male,United States of America,White,No,Yes,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Possibly,No,No,Possibly,No,21.0,Male,Germany,No Answer,Yes,No,3.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
More than 1000,No,No,Don't Know,No,No,No,Yes,35.0,Female,United Kingdom,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Possibly,No,No,Possibly,Yes,22.0,Male,United Kingdom,No Answer,Yes,No,2.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Possibly,No,No,Possibly,Yes,18.0,Male,United Kingdom,No Answer,No,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,No,No,Yes,No,Yes,Yes,Yes,37.0,Female,United States of America,White,Yes,No,1.0,No,No,No,No,No,No,No,Yes,No,No,No,No,No
1-5,Yes,No,Yes,No,Yes,Don't Know,I don't know,25.0,Male,United Kingdom,No Answer,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Don't Know,No,No,Don't Know,I don't know,40.0,Male,Canada,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,Don't Know,No,No,Don't Know,Yes,33.0,Male,Israel,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,No,Yes,Yes,Yes,66.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Yes,Yes,Yes,Yes,Yes,31.0,Female,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,Yes,No,No,No,No,No
100-500,No,No,Yes,Yes,Yes,No,Yes,32.0,Male,Canada,No Answer,Yes,No,4.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,Yes,I don't know,46.0,Male,United States of America,White,No,Yes,3.0,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,30.0,Female,United States of America,White,Yes,No,3.0,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,I don't know,31.0,Male,United States of America,Black or African American,Yes,No,4.0,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No
100-500,Yes,No,Yes,No,Yes,Yes,Yes,46.0,Male,Iceland,No Answer,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,No,Yes,No,Yes,Yes,I don't know,29.0,Other,Canada,No Answer,No,Yes,2.0,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
More than 1000,No,No,Yes,No,Yes,Yes,Yes,28.0,Female,United States of America,More than one of the above,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,No,No,Yes,No,Yes,Possibly,I don't know,34.0,Female,Japan,No Answer,Yes,No,1.0,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,Yes,Yes,Yes,I don't know,25.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Yes,Yes,Yes,Possibly,I don't know,35.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
No Answer,No,No,No,No,No,No,Yes,25.0,Other,Indonesia,No Answer,No,Unsure,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Possibly,Yes,No,Possibly,No,40.0,Male,United States of America,White,Yes,No,3.0,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
100-500,No,No,Yes,No,Yes,Don't Know,I don't know,32.0,Male,United States of America,I prefer not to answer,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,No,No,No,Yes,Yes,39.0,Male,United States of America,I prefer not to answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
500-1000,Yes,No,Yes,Yes,Yes,Yes,Yes,33.0,Male,United States of America,White,Yes,No,4.0,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
100-500,Yes,No,Possibly,Yes,No,Possibly,I don't know,40.0,Male,United States of America,Black or African American,Yes,No,4.0,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No
500-1000,Yes,No,Yes,No,Yes,Yes,I don't know,42.0,Male,United States of America,I prefer not to answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,No,Yes,Yes,Yes,32.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,Yes,Yes,Yes,I don't know,27.0,Female,United States of America,White,Yes,No,3.0,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No
No Answer,No,No,Yes,No,Yes,Yes,Yes,43.0,Female,United Kingdom,No Answer,No,Yes,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,No,No,Possibly,No,No,Possibly,I don't know,30.0,Female,Indonesia,No Answer,Yes,No,2.0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No
26-100,No,No,Yes,No,Yes,Yes,Yes,39.0,Male,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,Yes,42.0,Female,United States of America,White,Yes,No,3.0,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No
6-25,Yes,No,Yes,Yes,Yes,Yes,Yes,37.0,Other,Canada,No Answer,Yes,No,3.0,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No
500-1000,No,No,Yes,Yes,Yes,Yes,Yes,38.0,Female,United States of America,White,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Don't Know,No,No,No,No,47.0,Male,United Kingdom,No Answer,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
500-1000,Yes,No,Yes,No,Yes,Yes,No,64.0,Male,United Kingdom,No Answer,Yes,No,3.0,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No
100-500,No,No,Yes,Yes,Yes,Yes,Yes,28.0,Male,Canada,No Answer,No,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Possibly,No,No,Possibly,I don't know,45.0,Male,United States of America,White,No,Yes,2.0,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No
100-500,Yes,No,No,Yes,No,No,No,37.0,Male,United Kingdom,No Answer,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,Yes,Yes,Yes,Yes,30.0,Female,United Kingdom,No Answer,Yes,No,4.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,No,No,No,No,No,25.0,Male,United Kingdom,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,No,No,No,Yes,25.0,Female,United Kingdom,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,Yes,Yes,54.0,Female,United States of America,White,No,Yes,2.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
500-1000,Yes,No,Yes,Yes,Yes,No,I don't know,61.0,Male,United Kingdom,No Answer,No,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
